SKIP,TAG,NAME,DESCRIPTION
TRUE,AUR,polybar,A fast and easy-to-use status bar.
,AUR,siji-git,Iconic bitmap font based on stlarch with additional glyphs.
,AUR,termsyn-font,Monospaced font based on terminus and tamsyn.
,,chromium,Web browser developed by Google the open source project behind Google Chrome.
,AUR,brave-bin,Web browser that blocks ads and trackers by default (binary release).
,,telegram-desktop,Official Telegram Desktop client.
,,discord,All-in-one voice and text chat for gamers that's free and secure.
SKIP,,feh,Fast and light imlib2-based image viewer.
,AUR,xwallpaper-git,Wallpaper setting utility for X.
SKIP,,gnome-screenshot,Take pictures of your screen.
SKIP,,scrot,Simple command-line screenshot utility for X.
,,flameshot,Powerful yet simple to use screenshot software.
,,pulseaudio-alsa,ALSA Configuration for PulseAudio.
,,pavucontrol,PulseAudio Volume Control.
,,alsa-utils,Advanced Linux Sound Architecture - Utilities.
,,ttf-dejavu,Font family based on the Bitstream Vera Fonts with a wider range of characters.
SKIP,,ttf-fira-code,Monospaced font with programming ligatures.
,,ttf-hack,Cool font for terminal and coding.
,,ttf-joypixels, Pack with some cool emodjis.
,,noto-fonts,Google Noto TTF fonts.
,,httpie,user-friendly command-line HTTP client for the API era.
,,ripgrep,A search tool that combines the usability of ag with the raw speed of grep.
,,neovim,Fork of Vim aiming to improve user experience with plugins.
,,nodejs,Evented I/O for V8 javascript.
,,npm,A package manager for javascript.
,,yarn,Fast and reliabl and secure dependency management.
,,docker,Pack ship and run any application as a lightweight container.
,,docker-compose,Fast and isolated development environments using Docker.
,,neofetch,A fast and highly customizable system info script that supports displaying images with w3m.
,,htop,Simple ncurses interactive process viewer.
,,dunst,Customizable and lightweight notification-daemon.
,,sxiv,Simple X Image Viewer.
,,ncdu,Disk usage analyzer with an ncurses interface.
,,hardinfo,A small application that displays information about your hardware and operating system.
,,libreoffice-still,The office productivity suite compatible to the open and standardized ODF document format.
,,pass,Simple console-based password manager featuring flat text file organization and GnuPG encryption.
,,openssh,Premier connectivity tool for remote login with the SSH protocol.
,,openssl-1.0,The Open Source toolkit for Secure Sockets Layer and Transport Layer Security.
,,xorg-server,Xorg (commonly referred as simply X) is the most popular display server among Linux users.
,,xorg-xinit,The xinit program allows a user to manually start an Xorg display server.
SKIP,,terminator,Terminator is a terminal emulator.
,,base-devel,It a package group that includes tools needed for building.
SKIP,,i3-gaps,Adding a few additional features such as gaps between windows
SKIP,,i3lock,Improved screen locker.
,,zsh,It is a powerful shell that operates as both an interactive shell and as a scripting language interpreter.
,AUR,spaceship-prompt-git,Theme for zsh.
,,libyaml,C library for parsing and emitting YAML.
,,zip,Compressor/archiver for creating and modifying zipfiles.
,,unzip,For extracting and viewing files in .zip archives.
,,xorg-xrdb,X server resource database utility.
,,rxvt-unicode,Unicode enabled rxvt-clone terminal emulator (urxvt).
,AUR,rxvt-unicode-256xresources,urxvt with patches to support 256 Xresource colors and fixes for line/font spacing.
,,urxvt-perls,URL and Mouseless text selection for rxvt-unicode.
,AUR,urxvt-resize-font-git,An urxvt plugin to adjust the font size on the fly.
,SKIP,rofi,A window application launcher and dmenu replacement.
,SKIP,rofi-pass,Bash script to handle pass storages in a convenient way.
,,pacman-contrib,Contributed scripts and tools for pacman systems.
,,xcompmgr,Composite Window-effects manager for Xorg.
,,sxhkd,Simple X hotkey daemon.
,,zathura, Minimalistic document viewer with vim-like bindings.
,,zathura-pdf-mupdf, PDF support for Zathura.
,,unclutter,It hides your X mouse cursor when you do not use it.
,,exa,Replacement for ls.
,,bat,Replacement for cat.
,,AUR,xkblayout-state-git,A small command-line program to get/set the current keyboard layout.
,,AUR,downgrade,Bash script for downgrading packages.
,,AUR,slack-desktop,Slack Desktop.
,,openvpn,Configurable VPN (Virtual Private Network).

