adless-bin 1.0.4-1
bibata-cursor-theme-bin 2.0.7-1
blueberry 1.4.8-2
catppuccin-gtk-theme-mocha 1.0.3-1
cb-bin 0.1.0-2
downgrade 11.3.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
goland 2023.3.4-1
grpcurl-bin 1.9.1-1
gtk2 2.24.33-5
hardinfo 0.5.1.816.g877ea2b-2
htop-vim 3.2.2-1
jiq-bin 0.7.2-2
kubelogin 1.33.0-1
localsend-bin 1.17.0-1
openssl-1.1 1.1.1.w-2
pacman-cleanup-hook 1.1-1
plzip 1.11-1
protoc-gen-go 1.30.0-1
redis 7.2.5-1
rofi-pass 2.0.2-4
slack-desktop 4.49.81-1
ttf-joypixels 8.0.0-2
wbg 1.2.0-1
yay 13.0.1-1
yay-debug 13.0.1-1
zimfw 1.20.0-1
