acpi 1.8-2
alacritty 0.17.0-1
alsa-utils 1.2.16-1
ansible 14.1.0-1
ansible-lint 26.6.0-1
anything-sync-daemon 6.0.0-3
arch-audit 0.2.0-5
aria2 1.37.0-3
aws-cli 1.44.81-1
awww 0.12.1-1
base 3-3
base-devel 1-2
bat 0.26.1-2
batsignal 1.8.0-2
bc 1.08.2-1
bind 9.20.24-1
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
buf 1.71.0-1
calcurse 4.8.2-1
chromium 150.0.7871.114-1
clang 22.1.8-1
cmake 4.4.0-1
cronie 1.7.2-2
cups 2:2.4.19-1
curlie 1.8.2-1
dateutils 0.4.11-3
ddcutil 2.2.7-1
discord 1:1.0.146-1
dnf5 5.2.17.0-6
docker 1:29.6.1-1
docker-buildx 0.35.0-1
docker-compose 5.3.1-1
duf 0.9.1-1
dunst 1.13.2-1
earlyoom 1.9.0-1
efibootmgr 18-4
entr 5.8-1
ex-vi-compat 2-1
expect 5.45.4-5
eza 0.23.5-2
fd 10.4.2-2
figlet 2.2.5-6
firefox 152.0.5-1
foot 1.27.0-1
fwupd 2.1.6-1
fx 39.2.0-1
fzf 0.74.0-1
gdu 5.36.1-1
gflags 2.2.2-6
ghostty 1.3.1-2
git 2.55.0-1
git-delta 0.19.2-2
gopass 1.16.1-2
goreleaser 2.14.0-2
gptfdisk 1.0.10-2
grim 1.5.0-2
grub 2:2.14-1
gvfs 1.60.1-1
httpie 3.2.4-2
hugo 0.164.0-1
hwinfo 25.4-1
hyperfine 1.20.0-1
hypridle 0.1.7-9
hyprland 0.55.4-1
hyprpaper 0.8.4-3
imagemagick 7.1.2.26-2
imv 5.0.1-2
intel-ucode 20260512-1
iwd 3.12-1
jpegoptim 1.5.6-1
jq 1.8.2-1
kernel-modules-hook 0.1.7-3
kubectl 1.36.2-1
lazydocker 0.25.2-1
lazygit 0.63.0-1
libmicrohttpd 1.0.6-1
linux 7.1.3.arch1-2
linux-firmware 20260622-1
linux-headers 7.1.3.arch1-2
linux-lts 6.18.38-2
linux-lts-headers 6.18.38-2
luarocks 3.13.0-5
lzip 1.26-1
man-db 2.13.1-1
mariadb 12.3.2-3
mariadb-clients 12.3.2-3
mediainfo 26.05-1
moreutils 0.70-1
mpv 1:0.41.0-3
neovim 0.12.4-1
net-tools 2.10-3
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
networkmanager-openvpn 1.12.5-1
newsboat 2.44-1
ninja 1.13.2-3
noto-fonts 1:2026.07.01-1
noto-fonts-emoji 1:2.051-1
npm 12.0.0-1
nvidia-open-lts 1:610.43.03-2
nwg-look 1.1.1-3
obs-studio 32.1.2-7
obsidian 1.12.7-3
oha 1.14.0-2
openbsd-netcat 1.238_1-1
openssh 10.4p1-2
openvpn 2.7.5-1
os-prober 1.84-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
papirus-icon-theme 20250501-1
pass 1.7.4-7
pavucontrol 1:6.2-1
pcmanfm 1.4.0-2
pgcli 4.5.0-1
pigz 2.8-2
pipewire-alsa 1:1.6.7-1
pipewire-jack 1:1.6.7-1
pipewire-pulse 1:1.6.7-1
postgresql 18.4-1
postgresql-old-upgrade 17.10-1
prettier 3.8.1-1
protobuf-c 1.5.2-12
pv 1.11.0-1
python-pipx 1.15.0-1
qalculate-gtk 5.11.0-1
qt5-wayland 5.15.19+kde+r55-1
reflector 2023-5
ripgrep 15.1.0-4
rofi 2.0.0-1
rofimoji 6.7.0-2
s-tui 1.4.0-1
sane 1.4.0-4
shfmt 3.13.1-1
simple-scan 50.0-1
slurp 1.5.0-2
socat 1.8.1.1-1
speedtest-cli 2.1.3-10
sqlc 1.31.1-1
sqlfluff 4.2.2-1
steam 1.0.0.87-1
stylua 2.5.2-1
sudo 1.9.17.p2-6
swappy 1.8.0-1
system-config-printer 1.5.18-6
systembus-notify 1.1-4
telegram-desktop 6.9.3-8
tesseract 5.5.2-1
thin-provisioning-tools 1.3.3-1
throttled 0.12-1
tig 2.6.1-1
tmux 3.7_b-1
tokei 14.0.0-1
traceroute 2.1.6-1
transmission-cli 4.1.3-2
trash-cli 0.24.5.26-3
tree-sitter-cli 0.26.9-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fira-code 6.2-4
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
udiskie 2.6.2-1
unrar 1:7.2.7-1
unzip 6.0-23
vhs 0.11.0-1
vimiv 0.9.1-10
waybar 0.15.0-2
wget 1.25.0-5
wireguard-tools 1.0.20260223-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
wlr-randr 0.5.0-1
xarchiver 0.5.4.27-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.12-2
xh 0.26.1-1
xorg-xwayland 24.1.13-1
yarn 1.22.22-2
zathura 2026.07.08-1
zathura-pdf-mupdf 2026.05.10-5
zip 3.0-13
zsh 5.9.1-1
